index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
683	F.1 Phosphorylation	E. Associate	1	4EBP1	breast cancer	Here, we undertook an effort to uncover the mechanisms underlying the limited efficacy of rapamycin, and found that the transit suppression of 4EBP1 phosphorylation led to cap-dependent translation and cell proliferation in breast cancer cells.
684	I. None	C. Cause	1	GALNT14	breast cancer	These findings indicate that GALNT14 contributes to breast cancer invasion by altering the cell proliferation, motility, expression levels of EMT genes, and by stimulating MMP-2 activity, suggesting GALNT14 may be a potential target for breast cancer treatment.
685	A. Expression	H. Benefit	1	BRCA1	breast cancer	These preliminary results on the effects of lycopene on the expression of BRCA1 and BRCA2 oncosuppressor genes in breast cancer may reflect cross-talk between the oestrogen and retinoic acid receptor (RAR) pathways.
686	A.2 Under-expression	E. Associate	1	EBP50	breast cancer	In this study, we investigate the potential function of EBP50 through over-expression in the breast cancer cell line, MDA-MB-231, which has low EBP50 protein expression levels.
687	A.2 Under-expression	E. Associate	1	estrogen receptor	Triple-negative breast cancer	Triple-negative breast cancer, so called because it lacks expression of the estrogen receptor, progesterone receptor, and HER2, is often, but not always, a basal-like breast cancer.
688	A.2 Under-expression	E. Associate	1	HER2	breast cancer	EGFR, p53 and vimentin were highly expressed in ER(-)/HER2(-) breast cancer cells (p<0.01).
689	A.1 Over-expression	E. Associate	1	ER	breast cancers	Although many estrogen receptor-positive (ER+) breast cancers are effectively treated with selective estrogen receptor modulators and down-regulators (SERM/SERD), some are highly resistant.
690	A. Expression	C. Cause	1	COX-2	breast cancer	These data provide impetus to investigate how baseline COX-2 expression is regulated in premenopausal breast tissue because COX-2 levels in normal breast epithelium may prove to be an indicator of breast cancer risk in young women, and predict the chemopreventive and therapeutic efficacy of COX-2 inhibitors in this population.
691	I. None	C. Cause	1	HNE	breast cancer	Given the growing evidence supporting the role of HNE in breast cancer progression and metastasis, we assessed the cellular effects of compounds 3 and 4 in the context of targeting invasive breast cancer.
692	I. None	B. Target	1	E2F-1	GASTRIC CANCER	E2F-1 gene silencing can enhance cisplatin chemosensitivity of gastric cancer SGC-7901/DDP cells possibly by down-regulating survivin and Bcl-2 expressions, suggesting the value of E2F-1 as a new chemotherapeutic target for gastric cancer.
693	G. Regulate	E. Associate	1	EGF	GASTRIC CANCER	The identification of miR-610 as a novel miRNA regulated by EGF that targets VASP in gastric cancer cells suggests that EGF-miR610-VASP axis may be exploited for therapeutic intervention to inhibit gastric cancer progression and metastasis.
694	A. Expression	C. Cause	1	IL-18	Gastric carcinoma	The positive expressions of IL-12 and IL-18 can play an important role in progression and metastasis of gastric cancer, and IL-12 might be an independent factor of poor prognosis in gastric carcinoma.
695	G. Regulate	C. Cause	1	B7-H3	HEPATOMA	Consistently in experiments performed in vitro, B7-H3 was able to stimulate the wound healing, metastasis and invasion of hepatoma cells by targeting epithelial-to-mesenchymal transition (EMT) via JAK2/Stat3/Slug signaling pathway, while no obvious influence on cell growth and apoptosis.
696	L. Be regulated	H. Benefit	1	SEMA4C	hepatocellular carcinoma	MiR-205 suppresses tumor growth, invasion, and epithelial-mesenchymal transition by targeting SEMA4C in hepatocellular carcinoma.
697	L. Be regulated	C. Cause	1	PTEN	hepatocellular carcinoma	MicroRNA-20b promotes proliferation of H22 hepatocellular carcinoma cells by targeting PTEN.
698	D.1 Mutation	E. Associate	1	epidermal growth factor receptor	non-small cell lung cancer	The epidermal growth factor receptor (EGFR) mutation status has become one of the most important factors in the treatment of non-small cell lung cancer.
699	J. Inhibition	C. Cause	1	MMP9	NSCLC	Furthermore, the demethylation of SFRP2 gene appeared to inhibit Zinc Finger E-Box Binding Homeobox 1 (ZEB1) and matrix metallopeptidase 9 (MMP9), two key factors that enhance NSCLC cell invasion.
700	I. None	F. None	1	GATA3	lung adenocarcinoma	In this case, the use of a limited immunohistochemical panel including napsin A, a recently described highly sensitive marker for lung adenocarcinoma, GATA3 and S100P, two novel markers of urothelial differentiation, was of crucial importance in differentiating between lung adenocarcinoma metastatic to the bladder and primary bladder adenocarcinoma.
701	A.1 Over-expression	G. Marker	1	c-Met	lung adenocarcinoma	Therefore, c-Met overexpression, HER-2 gene amplification, and SPTBN1-ALK gene fusion can coexist in lung adenocarcinoma and may become a potential biomarker of cancer refractory to crizotinib, chemotherapy, and radiotherapy as well as of a relatively poor prognosis.
702	L. Be regulated	C. Cause	1	STAT3	lung metastasis	PLOD3 promotes lung metastasis via regulation of STAT3.
703	D.1 Mutation	E. Associate	1	EGFR	NSCLC	Recent phase one data and our case indicate osimertinib should be viewed as a best practice for treatment of LM disease in epidermal growth factor receptor (EGFR) mutated NSCLC regardless of T790M status.
704	D.1 Mutation	C. Cause	1	ALK	NSCLC	Crizotinib is an oral tyrosine kinase inhibitor approved in 2011 as a first-line therapy for patients with metastatic ALK mutation-driven NSCLC.
705	I. None	B. Target	1	EGFR	NSCLC	Small-molecule tyrosine kinase inhibitors (TKIs) targeting the epidermal growth factor receptor (EGFR) pathways are used clinically for patients with non-small cell lung cancer (NSCLC).
706	A.1 Over-expression	E. Associate	1	NBR2	NSCLC	Simultaneous overexpression of NBR2 and Notch1 could reverse the inhibitory effect of NBR2 on proliferation and migration of NSCLC cells.
707	L. Be regulated	E. Associate	1	TP53	lung cancer	These results demonstrate that miR-1269 promotes cell survival and proliferation by targeting TP53 and caspase-9 in lung cancer.
708	D.1 Mutation	G. Marker	1	EGFR	lung cancer	Circulating tumor DNA (ctDNA) is an approved noninvasive biomarker to test for the presence of EGFR mutations at diagnosis or recurrence of lung cancer.
709	A.1 Over-expression	E. Associate	1	BMI1	lung adenocarcinoma	High expression of HectH9 and six stemness-related genes (BMI1, SOX2, OCT4, NANOG, NOTCH1, and NOTCH2) predicted poor survival in patients with head and neck squamous cell carcinoma and lung adenocarcinoma.
710	D.1 Mutation	E. Associate	1	EGFR	lung cancer	The European Commision (EC) recently approved osimertinib for the treatment of adult patients with locally advanced or metastatic non-small-cell lung cancer (NSCLC) harboring EGFR T790M mutations.
711	D.1 Mutation	F. None	1	BRAF	lung cancers	The recent FDA approvals of crizotinib, an ALK kinase inhibitor that has yielded significant clinical benefit in ALK-translocated lung cancers, and vemurafenib, a BRAF-selective kinase inhibitor that has demonstrated dramatic clinical efficacy in BRAF mutant melanoma patients, define the new landscape for tailored cancer drug therapy.
712	A.1 Over-expression	G. Marker	1	EGFR	non-small cell lung cancer	The overexpression of epidermal growth factor receptor (EGFR) is closely associated with a poor outcome in non-small cell lung cancer (NSCLC), and EGFR is an ideal biomarker for the targeted therapy of NSCLC.
713	D.1 Mutation	E. Associate	1	EGFR	lung adenocarcinoma	We here describe a patient with EGFR mutation-positive lung adenocarcinoma who developed severe hepatotoxicity during treatment first with gefitinib and then with erlotinib, but who was subsequently able to continue treatment with afatinib for at least 44 weeks with no evidence of hepatotoxicity or disease progression.
714	D.1 Mutation	E. Associate	1	BRAF	thyroid cancer	AICAR inhibited the proliferation of BRAF V600E-mutant thyroid cancer cell lines more strongly than was the case with wild-type cell lines.
715	D.1 Mutation	F. None	1	VHL	MEN 2	In 166 patients (25.9%) the disease was familial and caused by germline mutations in VHL (56), SDHB (34), SDHD (31), RET (31) or NF1 (14), causing von Hippel-Lindau disease, SDHB- or SDHD-PH/FPGL syndromes, multiple endocrine neoplasia type 2 (MEN 2) and type 1 neurofibromatosis (NF1), respectively.
716	L.1 Up-regulation	E. Associate	1	CD25	breast cancer	The culture supernatant of ASCs isolated from breast cancer patients with pathological stage III induced upregulation of the mRNA expression levels of IL-4, TGF-β1, IL-10, CCR4 and CD25 in PBLs.
717	A.2 Under-expression	E. Associate	1	HER2	breast cancers	They are represented with 15% of all breast cancers, characterized with lack of hormone receptor as well as with negative expression of HER2 test.
718	L.1 Up-regulation	C. Cause	1	LRH-1	breast cancer	Recent studies have demonstrated that the liver receptor homolog-1 (LRH-1), another nuclear receptor, regulates breast cancer cell proliferation and promotes motility and invasion.
719	G. Regulate	E. Associate	1	caspase 8	breast cancer	Normally inactive in breast cancer, caspase 8 can cleave Vps34 at residue D285, which directly abolished its lipid kinase activity and dramatically altered cell invasion potential, colony formation, as well as tumorigenesis in orthotopic engraftments in mice.
720	D.1 Mutation	E. Associate	1	cofilin	breast cancer	In vivo findings confirmed that erucin-mediated inhibition of tumor growth in a breast cancer cell xenograft mouse model is associated with the mitochondrial translocation of cofilin and Drp1, fission and apoptosis.
721	J. Inhibition	H. Benefit	1	ADAM17	breast cancer	Targeting this protease, TNF-alpha-converting enzyme (TACE; also referred to as a disintegrin and metalloproteinase 17 [ADAM17]), with small molecular inhibitors or siRNAs reverted the malignant phenotype in a breast cancer cell line by preventing mobilization of 2 crucial growth factors, TGF-alpha and amphiregulin.
722	G. Regulate	E. Associate	1	ER	breast cancer	Regarding the article "The p160 ER co-regulators predict outcome in ER negative breast cancer" by Spears, Oesterreich, Migliaccio et al. published in Breast Cancer Res Treat, March 2011.
723	A. Expression	E. Associate	1	ER	breast cancer	Taken together, our results suggest that lapatinib induces p27 expression via both transcriptional and post-translational upregulations, leading to cell cycle arrest and cell proliferation inhibition, and that its effect on breast cancer cells may be modified by ER expression status.
